Reference;Value;Footprint;Datasheet;Qty
U3;SN65HVD1050D;Package_SO:SOIC-8_3.9x4.9mm_P1.27mm;C14019;1
Q1;SiS443DN;Package_SO:Vishay_PowerPAK_1212-8_Single;C142539;1
U2;TMC2209-LA;Package_DFN_QFN:VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm;C2150710;1
U1;STM32G0B1CBTx;Package_QFP:LQFP-48_7x7mm_P0.5mm;C2847904;1
Q2;SiS862ADN;Package_SO:Vishay_PowerPAK_1212-8_Single;C3289417;1
C19,C20;22u;Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A;C11366;2
R1,R2;0R11;Resistor_SMD:R_0805_1005Metric;C4000855;2
J4;Conn_01x04;UserLibrary:XT30(2+2);C19268030;2
;Conn_02x02;Connector_Molex:Molex_Micro-Fit_3.0_43045-0200_2x02_P3.00mm_Horizontal;C47326898;5
;Conn_01x02;Connector_Molex:Molex_Micro-Fit_3.0_43045-0200_1x02_P3.00mm_Horizontal;C5441111;5
;0.075;R_2512;C705611;10
;Housing_01x02;;C114089;5
;Housing_02x01;;C7541624;5
;Housing_02x02;;C7541625;5
;;;C18077991;50
;;;C19274302;100
;;;C442164;50
;;;C2982142;20
