Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4.7u,
"C10, C11, C17, C28, C3, C33, C36, C4, C5, C7, C8, C9",0402,12,100n,
C12,CP_EIA-2012-12_Kemet-R,1,2.2u,
"C13, C14",0603,2,4.7u,
"C15, C18",0603,2,0.1u,
C16,0603,1,10u,
"C19, C20",CP_EIA-3216-18_Kemet-A,2,22u,
"C2, C29, C30, C31, C32, C34, C35",0402,7,22n,
C21,0402,1,75p,
C6,CP_Elec_6.3x5.2,1,100u,
D1,D_SOD-123F,1,BZT52B10,
"D2, D4, D8",D_SOD-323,3,1N5819WS,
D3,SOT-23,1,BAT54S,
D5,0402,1,GREEN,
D6,0402,1,BLUE,
"D7, D9",0402,2,RED,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
"J10, J3",PinHeader_1x02_P2.00mm_Vertical,2,Conn_01x02,
"J11, J5",Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,2,Conn_01x02,
"J12, J14",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02,
"J13, J8",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J4,XT30PW(2+2)-M.G.B,1,Conn_01x04,
J6,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03,
J7,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,Conn_01x05,
L1,0402,1,120R@100MHz,
L2,L_APV_APH0530,1,10u,
Q1,Vishay_PowerPAK_1212-8_Single,1,SiS443DN,
Q2,Vishay_PowerPAK_1212-8_Single,1,SiS862ADN,
"Q3, Q4",SOT-23,2,AS3400,
"R1, R2",0805,2,0R11,
"R10, R25, R32, R8",0402,4,10,
"R11, R24, R33, R35, R37, R39, R4, R41, R7",0402,9,10k,
R12,0402,1,100k,
R13,0402,1,13.3k,
R14,0402,1,50,
R19,0402,1,1M,
"R20, R21",0402,2,5.1k,
"R22, R23",0402,2,22,
"R26, R31, R9",0402,3,20k,
R27,0402,1,4.12k,
"R28, R46",0402,2,4.7k,
"R29, R30",0402,2,2.37k,
"R34, R36, R38, R40, R43",0402,5,1k,
R42,0402,1,620,
R44,0402,1,11k,
R45,0402,1,1.5k,
"R5, R6",0402,2,60,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
TH1,0402,1,KNTC0402/100KF3950,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,
U2,VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,TMC2209-LA,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD1050D,
U4,SOT-23-5,1,74LVC1G17D,
U5,SOT-23-5,1,ME6211C33M5,
U6,SOT-23-6,1,TPS54302,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MhZ,
